id,weight,state,dist,pres_economy,dem_party,rep_party,hhold_size,current_economy,buy_guns,important_english,syrian,global_warming,abortion,age,number_children,length_community,dem_candidate,rep_candidate,feminists,liberals,conservatives,gays,muslims,christians,jews,trans,scientists,black_lives,vaccine_school,immigrant_level,vaccine_risk,marijuana,imm_harm,align_democrat,hispanics,blacks,illegal_imm,whites,vote_trump,distrust,corrupt,wrong_track,support_wall,deny_syrians,minority_adapt,imm_level_high,authority,ei,ei_lag,union,insurance,inequal,worry_finances,ur_dist,poor_economy,since_08,last_yr,next_yr,dem_economy,rep_economy,rep_id,dem_id,ind_id,male,less_hs,hs,some_ps,ps,ps_plus,race_vm,imm,military,married,divorced,widowed,single,children,born_again,poor_health,employed,unemployed,not_lf,jobless,job_insecurity,new_england,mideast,great_lakes,plains,southeast,southwest,rocky,far_west,income
300001,.827,22,6,4,0,70,4,5,3,2,7,2,2,29,1,21,15,85,50,50,70,15,15,100,50,50,70,15,2,4,4,2,4,,30,60,0,60,1,0,1,1,1,1,1,0,6,0,0,0,1,3,3,5.1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,42705
300002,1.08,5,3,,15,85,3,3,3,1,7,1,4,26,0,3,50,60,50,50,60,50,50,50,50,50,70,50,1,5,1,1,1,,30,50,0,50,1,0,1,1,1,1,1,1,2,0,0,0,1,4,1,3.3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,61961
300003,.387,28,4,4,50,50,3,4,2,1,7,1,2,23,2,1,50,70,50,50,50,70,60,50,60,50,70,30,1,3,5,1,5,0,15,30,15,60,,0,0,1,0,1,1,0,4,0,0,0,1,4,2,8.6,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18042
300004,.359,47,7,4,30,70,2,3,3,1,6,2,3,58,0,40,15,60,50,50,50,50,50,85,50,50,50,50,4,4,4,2,2,0,50,50,40,50,,0,0,1,0,1,1,0,2,0,0,,1,4,1,6.2,0,0,0,0,0,1,,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,75215
300006,.647,39,6,4,70,40,4,4,1,4,4,1,4,38,3,38,30,15,70,70,70,85,85,85,85,85,85,15,4,3,2,2,3,,85,85,50,85,0,1,0,1,0,0,0,0,8,0,1,0,1,2,3,5.8,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11496
300008,3.96,36,5,1,85,15,2,4,1,1,6,1,4,58,0,11,85,50,50,85,85,85,100,100,85,85,100,100,2,3,7,3,3,1,50,50,50,50,0,0,1,0,0,1,0,0,6,0,0,1,1,5,1,8.2,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,97688
300012,.962,34,6,4,0,40,2,4,3,1,7,2,3,56,0,40,15,85,40,30,40,100,70,85,100,70,60,15,4,4,3,1,2,0,100,85,40,100,1,1,1,1,1,1,1,0,6,1,0,,1,5,2,5.8,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,299378
300018,.976,48,5,3,15,60,1,3,3,1,7,2,3,45,0,3,0,70,50,15,60,50,30,60,50,30,70,15,2,5,3,1,4,,85,60,0,100,,0,0,1,1,1,1,1,4,0,0,0,1,4,2,5.2,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,39165
300020,.618,28,4,2,50,50,4,3,1,3,3,1,4,30,2,3,50,60,50,50,50,50,50,50,50,50,85,50,1,3,1,3,3,,50,50,50,50,0,0,0,0,0,0,0,0,2,0,0,0,1,4,3,8.6,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,71100
300026,.919,9,5,1,40,70,2,3,2,1,4,2,4,30,0,1,40,40,50,70,70,50,70,70,70,85,85,70,1,3,2,1,2,,100,100,85,100,0,0,0,0,0,0,1,0,4,0,0,1,1,5,2,5.9,0,0,0,0,0,1,,,,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,116174
300030,1.166,39,7,4,15,50,2,4,3,1,7,1,2,67,0,40,0,100,15,0,85,50,60,100,85,50,85,0,1,5,1,1,1,0,60,85,15,85,1,1,0,1,1,1,1,1,4,0,0,0,1,5,1,5.3,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,49072
300034,.335,20,3,1,85,30,1,2,1,2,2,1,4,62,0,1,70,15,85,85,40,85,70,85,70,60,70,85,1,2,1,1,2,1,70,85,50,85,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,27934
300038,1.05,25,8,3,60,50,1,5,1,1,,1,2,51,0,13,0,70,15,50,50,60,50,85,70,15,70,50,1,4,4,1,2,1,50,85,0,100,,0,0,1,0,,1,0,6,,1,0,1,3,3,5.6,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,10752
300039,.808,11,1,1,70,15,4,2,1,2,1,1,4,46,2,17,85,15,70,85,30,85,60,60,85,70,100,85,1,2,1,1,1,1,85,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,6.9,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,240726
300040,.242,35,1,4,30,70,1,4,1,1,6,1,4,70,0,4,40,100,100,85,100,100,100,100,100,100,100,70,2,3,1,1,1,0,70,70,15,70,1,0,0,1,1,1,1,0,8,0,0,0,1,5,3,5.8,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,57273
300041,1.76,36,11,1,70,15,4,2,1,3,1,1,4,30,2,3,85,0,100,85,30,100,100,50,100,100,100,100,1,2,1,1,1,1,100,100,85,85,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,5.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,173133
300042,1.393,53,3,2,40,60,2,2,1,1,6,1,3,67,0,40,30,40,50,40,50,50,50,85,100,50,85,70,1,3,2,2,2,,50,60,40,60,,0,0,1,0,1,1,0,8,1,0,0,1,5,2,5.8,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90209
300045,.859,22,6,4,15,70,1,4,3,1,6,2,2,66,0,30,0,70,50,60,85,50,40,85,50,50,50,40,6,5,5,1,3,,60,70,40,85,,0,0,1,0,1,1,1,6,0,1,0,1,3,4,5.1,1,,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,1,0,0,0,0,0,1,0,0,0,79085
300046,.538,4,5,4,40,80,1,4,1,2,7,2,4,32,0,10,5,95,40,70,60,100,40,50,90,90,90,10,1,4,1,1,4,0,50,40,15,95,1,0,0,1,1,1,1,0,2,0,1,0,0,5,5,5,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10575
300047,2.774,42,6,2,50,15,4,2,1,1,5,1,4,56,0,20,60,0,50,60,40,70,50,100,70,70,85,85,2,3,2,3,3,,40,60,15,85,0,0,0,0,0,1,0,0,4,0,0,0,1,4,3,4.6,0,0,1,0,0,0,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,
300049,.521,20,4,3,40,60,1,4,3,2,5,1,4,65,0,26,15,60,40,40,70,40,60,85,85,30,60,40,1,4,2,2,2,,85,70,40,85,1,0,0,0,0,1,1,0,4,0,0,0,1,5,1,4.9,1,1,0,1,0,1,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,52262
300050,1.029,22,4,4,15,40,2,4,3,1,7,2,2,61,0,1,0,60,50,15,100,50,50,100,100,0,85,15,1,3,4,3,4,,100,100,0,100,1,0,1,1,1,1,1,0,8,0,0,0,1,3,2,7.7,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,41829
300053,.215,12,10,1,50,60,1,3,1,2,6,1,3,68,0,2,30,60,60,70,40,85,85,85,85,70,50,70,1,5,1,1,3,,85,85,0,85,,0,0,1,0,1,1,1,4,0,0,0,1,4,4,6.6,0,0,0,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
300056,.999,47,5,4,50,50,3,5,1,2,6,1,2,25,1,13,15,70,50,50,50,100,50,85,100,100,100,50,1,4,1,1,4,0,50,50,0,50,,0,1,1,0,1,1,0,6,0,0,0,1,5,3,4.1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,64205
300058,.976,25,9,1,85,15,2,2,1,3,1,1,4,73,0,30,85,0,100,100,0,100,85,60,100,85,100,85,1,4,1,1,1,1,100,100,100,90,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,5.6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,61951
300059,1.896,20,3,4,30,50,2,5,3,1,6,1,4,67,0,40,30,60,60,40,70,40,60,100,70,15,70,50,1,5,1,3,4,0,60,60,40,60,,1,1,1,1,1,1,1,5,0,0,0,1,5,1,4.1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,93915
